	Col0_AWF_NT_R4	Col0_AWF_NT_R5	Col0_AWF_NT_R6	Col0_CL_R1	Col0_CL_R2	Col0_CL_R3	Col0_CL_ribo_R1	Col0_CL_ribo_R2	Col0_CL_ribo_R3	Col0_LSW_R1	Col0_LSW_R2	Col0_LSW_R3
AT5G33220	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33223	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33226	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33230	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33232	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33234	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33237	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33240	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33250	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33251	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33252	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33253	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33254	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33255	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33256	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33257	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33258	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33259	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33260	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33270	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33280	0	0	0	9.69068528551157	0	7.44002713103203	6.50282457917948	13.8810565608263	6.11355899380002	0	0	0
AT5G33285	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33290	0	0	0	12.1133566068895	0	3.38183051410547	6.56194116626293	18.3367043457829	5.26445357799447	7.00032222706142	0	0
AT5G33300	0	0	0	0	0	0	0.177349761250349	0	0	0	0	0
AT5G33303	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33306	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33310	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33315	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33320	0	0	0	36.3400698206684	0	12.8509559536008	9.22218758501817	5.48387419686964	3.82097437112502	0	0	0
AT5G33330	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33340	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33350	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33355	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33360	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33365	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33370	0	0	0	0	0	0	0	1.02822641191306	0	0	0	0
AT5G33380	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33381	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33382	0	0	0	0	0	0	0.532049283751048	0.514113205956529	0.169821083161112	0	0	0
AT5G33383	0	0	0	0	0	0	0	0	0	0	0	0
